,Historical Event,Date,Summary
36,The COVID-19 Pandemic,2019-2023,A global pandemic caused by the coronavirus led to widespread economic and social disruption.
37,The Russian Invasion of Ukraine,2022,"Russia invaded Ukraine, leading to one of the largest conflicts in Europe since World War II."
13,The Conquests of Alexander the Great,336-323 BC,"Alexander the Great expanded his empire from Greece to Egypt, Persia, and India, spreading Greek culture."
15,The Assassination of Julius Caesar,44 BC,"Julius Caesar was assassinated by Roman senators, leading to the rise of the Roman Empire under Augustus."
17,The Fall of the Western Roman Empire,476 AD,"The Western Roman Empire collapsed due to invasions by Germanic tribes, marking the beginning of the Middle Ages."
4,The Fall of the Roman Empire,476 AD,"The Western Roman Empire fell to invading barbarian tribes, marking the start of the Middle Ages."
12,The Persian Wars,499-449 BC,"A series of conflicts between the Greek city-states and the Persian Empire, leading to Greek victories at Marathon and Salamis."
14,The Rise of the Roman Republic,509 BC,"The Roman Republic replaced the monarchy, establishing a system of government that would influence future democracies."
10,The Founding of Rome,753 BC,"According to legend, Rome was founded by Romulus and Remus, becoming one of the most influential civilizations in history."
9,The Trojan War,c. 1200 BC,"According to legend, the Greeks besieged and eventually destroyed the city of Troy, an event immortalized in Homer's Iliad."
8,The Code of Hammurabi,c. 1754 BC,"King Hammurabi of Babylon created one of the earliest known sets of laws, emphasizing justice and order."
7,The Great Pyramid of Giza Completed,c. 2560 BC,"The Great Pyramid of Giza, one of the Seven Wonders of the Ancient World, was completed as a tomb for Pharaoh Khufu."
16,The Crucifixion of Jesus,c. 30 AD,"Jesus of Nazareth was crucified by the Romans, leading to the rise of Christianity."
6,The Birth of Civilization (Mesopotamia),c. 3100 BC,"The Sumerians developed one of the world's first civilizations in Mesopotamia, marked by the creation of writing (cuneiform)."
18,The Rise of the Byzantine Empire,c. 500 AD,"The Eastern Roman Empire, known as the Byzantine Empire, continued to thrive with Constantinople as its capital."
11,The Birth of Buddha,c. 563 BC,"Siddhartha Gautama, who would later become the Buddha and found Buddhism, was born in Lumbini (modern-day Nepal)."
19,The Birth of Islam,c. 610 AD,"The Prophet Muhammad received his first revelation, leading to the foundation of Islam."
2020,Unknown,"2020 (MMXX) was a leap year starting on Wednesday of the Gregorian calendar, the 2020th year of the Common Era (CE) and Anno Domini (AD) designations, the 20th year of the 3rd millennium and the 21st century, and the 1st year of the 2020s decade. "
covid pandemic,Unknown,"The COVID-19 pandemic, caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), began with an outbreak of COVID-19 in Wuhan, China, in December 2019. Soon after, it spread to other areas of Asia, and then worldwide in early 2020. The World Health Organization (WHO) declared the outbreak a public health emergency of international concern (PHEIC) on 30 January 2020, and assessed the outbreak as having become a pandemic on 11 March."
historical timeline,Unknown,The following is a list of timeline articles:
1984,Unknown,"1984 (MCMLXXXIV) was a leap year starting on Sunday of the Gregorian calendar, the 1984th year of the Common Era (CE) and Anno Domini (AD) designations, the 984th year of the 2nd millennium, the 84th year of the 20th century, and the 5th year of the 1980s decade. "
1900,Unknown,"As of the start of 1900, the Gregorian calendar was 12 days ahead of the Julian calendar, which remained in localized use until 1923."
cold war?,Unknown,"The Cold War was a period of global geopolitical rivalry between the United States (US) and the Soviet Union (USSR) and their respective allies, the capitalist Western Bloc and communist Eastern Bloc, which lasted from 1947 until the dissolution of the Soviet Union in 1991. The term cold war is used because there was no direct fighting between the two superpowers, though each supported opposing sides in regional conflicts known as proxy wars. In addition to the struggle for ideological and econo"
cheeese,Unknown,"Cheeese is a European hidden camera show for children on Nickelodeon in Sweden, Germany, Denmark, Austria, Switzerland, and the Netherlands. The series is a spinoff of Just for Laughs Gags."
